"borough" "neighborhood" "building.class.category" "tax.class.at.present" "block" "lot" "ease.ment" "building.class.at.present" "address" "apartment.number" "zip.code" "residential.units" "commercial.units" "total.units" "land.square.feet" "gross.square.feet" "year.built" "tax.class.at.time.of.sale" "building.class.at.time.of.sale" "sale.price" "sale.date" "sale.price.n" "gross.sqft" "land.sqft" "outliers"
"26" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15963 46 NA "A6" "44-02 NORTON AVENUE                      " "            " 11691 1 0 1 " 1,275 " " 595 " 1925 1 "A6" " 183,700 " "12/1/2015" 183700 595 1275 0
"27" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15965 27 NA "A6" "448 BEACH 44 STREET                      " "            " 11691 1 0 1 " 1,735 " " 846 " 1899 1 "A6" " 70,980 " "9/25/2015" 70980 846 1735 0
"28" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15965 110 NA "A2" "417 BEACH 43 STREET                      " "            " 11691 1 0 1 " 2,907 " " 720 " 1910 1 "A2" " 140,000 " "10/16/2015" 140000 720 2907 0
"29" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15966 14 NA "A6" "462 BEACH 45 STREET                      " "            " 11691 1 0 1 " 1,825 " " 525 " 1905 1 "A6" " 149,000 " "10/13/2015" 149000 525 1825 0
"30" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15968 29 NA "A6" "456 BEACH 46 STREET                      " "            " 11691 1 0 1 " 1,750 " " 792 " 1920 1 "A6" " 56,000 " "4/13/2016" 56000 792 1750 0
"31" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15969 13 NA "A6" "426 BEACH 47 STREET                      " "            " 11691 1 0 1 " 2,252 " " 480 " 1940 1 "A6" " 305,000 " "8/31/2016" 305000 480 2252 0
"32" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15969 13 NA "A6" "426 BEACH 47 STREET                      " "            " 11691 1 0 1 " 2,252 " " 480 " 1940 1 "A6" " 91,260 " "9/30/2015" 91260 480 2252 0
"33" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 15969 55 NA "A2" "447 BEACH 46 STREET                      " "            " 11691 1 0 1 " 2,300 " " 900 " 1940 1 "A2" " 297,000 " "12/2/2015" 297000 900 2300 0
"34" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16025 3 NA "A2" "65-39 BAYFIELD AVENUE                    " "            " 11692 1 0 1 " 3,500 " " 1,155 " 1925 1 "A2" " 304,000 " "9/10/2015" 304000 1155 3500 0
"36" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16029 1 NA "A2" "602 BEACH 69 STREET                      " "            " 11692 1 0 1 " 3,800 " " 1,119 " 1920 1 "A2" " 395,000 " "7/8/2016" 395000 1119 3800 0
"38" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16031 12 NA "A9" "5-28 BEACH 65 STREET                     " "            " 11692 1 0 1 " 2,500 " " 1,925 " 1960 1 "A9" " 263,000 " "9/22/2015" 263000 1925 2500 0
"39" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16031 25 NA "A9" "558 BEACH 65TH STREET                    " "            " 11692 1 0 1 " 2,500 " " 1,526 " 1960 1 "A9" " 91,000 " "5/18/2016" 91000 1526 2500 0
"41" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16032 36 NA "A5" "5-67 BEACH 65 STREET                     " "            " 11692 1 0 1 " 3,950 " " 2,008 " 1955 1 "A5" " 338,000 " "2/8/2016" 338000 2008 3950 0
"42" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16033 72 NA "A1" "66-08 THURSBY AVENUE                     " "            " 11692 1 0 1 " 2,500 " " 1,137 " 1930 1 "A1" " 199,000 " "9/21/2015" 199000 1137 2500 0
"43" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16034 38 NA "A1" "67-01 ALMEDA AVENUE                      " "            " 11692 1 0 1 " 2,000 " " 1,120 " 1930 1 "A1" " 200,000 " "10/29/2015" 2e+05 1120 2000 0
"44" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16038 39 NA "A9" "64-03 THURSBY AVENUE                     " "            " 11692 1 0 1 " 1,800 " " 1,530 " 1960 1 "A9" " 250,000 " "10/9/2015" 250000 1530 1800 0
"45" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16040 46 NA "A1" "449 BEACH 66 STREET                      " "            " 11692 1 0 1 " 4,000 " " 1,454 " 1920 1 "A1" " 235,248 " "4/26/2016" 235248 1454 4000 0
"46" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16042 22 NA "A1" "446 BEACH 69TH STREET                    " "            " 11692 1 0 1 " 4,000 " " 2,416 " 1910 1 "A1" " 135,000 " "11/23/2015" 135000 2416 4000 0
"47" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16049 3 NA "A2" "69-49 BURCHELL AVENUE                    " "            " 11692 1 0 1 " 3,000 " " 1,632 " 1960 1 "A2" " 299,000 " "9/8/2015" 299000 1632 3000 0
"48" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16052 27 NA "A5" "443 BEACH 69TH STREET                    " "            " 11692 1 0 1 " 3,250 " " 1,530 " 2005 1 "A5" " 380,000 " "1/15/2016" 380000 1530 3250 0
"49" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16052 28 NA "A5" "441 BEACH 69TH STREET                    " "            " 11692 1 0 1 " 1,500 " " 1,530 " 2005 1 "A5" " 285,000 " "10/27/2015" 285000 1530 1500 0
"50" 4 "ARVERNE                  " "01  ONE FAMILY DWELLINGS                    " "1" 16065 35 NA "A9" "72-17 BURCHELL AVENUE                    " "            " 11692 1 0 1 " 2,375 " " 1,116 " 1960 1 "A9" " 248,100 " "4/11/2016" 248100 1116 2375 0
"54" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15833 24 NA "B3" "348 BEACH 43RD STREET                    " "            " 11691 2 0 2 " 4,000 " " 1,440 " 1910 1 "B3" " 410,000 " "1/6/2016" 410000 1440 4000 0
"55" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15836 12 NA "B3" "316 BEACH 45 STREET                      " "            " 11691 2 0 2 " 2,269 " " 2,340 " 1920 1 "B3" " 301,500 " "5/12/2016" 301500 2340 2269 0
"56" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15836 12 NA "B3" "316 BEACH 45TH STREET                    " "            " 11691 2 0 2 " 2,269 " " 2,340 " 1920 1 "B3" " 38,000 " "10/19/2015" 38000 2340 2269 0
"57" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15839 19 NA "B9" "350 BEACH 48 STREET                      " "            " 11691 2 0 2 " 3,019 " " 1,323 " 1955 1 "B9" " 180,000 " "4/25/2016" 180000 1323 3019 0
"58" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15902 3 NA "B2" "160 BEACH 60 STREET                      " "            " 11692 2 0 2 " 2,850 " " 2,386 " 1960 1 "B2" " 300,000 " "8/4/2016" 3e+05 2386 2850 0
"60" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15903 3 NA "B1" "172 BEACH 61ST  STREET                   " "            " 11692 2 0 2 " 3,135 " " 2,052 " 2000 1 "B1" " 440,000 " "3/18/2016" 440000 2052 3135 0
"62" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15904 20 NA "B9" "195 BEACH 61 STREET                      " "            " 11692 2 0 2 " 2,264 " " 1,729 " 1955 1 "B9" " 90,000 " "9/2/2015" 90000 1729 2264 0
"63" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 2 NA "B2" "62-08 BEACH FRONT ROAD                   " "            " 11692 2 0 2 " 6,049 " " 3,547 " 2014 1 "B2" " 1,221,900 " "2/26/2016" 1221900 3547 6049 0
"64" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 3 NA "B2" "63-04 BEACH FRONT ROAD                   " "            " 11692 2 0 2 " 5,719 " " 3,084 " 2014 1 "B2" " 1,196,443 " "12/4/2015" 1196443 3084 5719 0
"65" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 6 NA "B2" "63-10 BEACH FRONT ROAD                   " "            " 11692 2 0 2 " 3,542 " " 3,084 " 2014 1 "B2" " 941,881 " "4/12/2016" 941881 3084 3542 0
"66" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 8 NA "B2" "63-16 BEACH FRONT ROAD                   " "            " 11692 2 0 2 " 3,542 " " 3,084 " 2014 1 "B2" " 967,337 " "2/29/2016" 967337 3084 3542 0
"67" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 9 NA "B2" "63-18 BEACH FRONT ROAD                   " "            " 11692 2 0 2 " 3,542 " " 3,084 " 2014 1 "B2" " 941,881 " "12/22/2015" 941881 3084 3542 0
"68" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 14 NA "B2" "64-08 BEACH FRONT ROAD                   " "            " 11692 2 0 2 " 3,542 " " 3,084 " 2014 1 "B2" " 941,881 " "10/30/2015" 941881 3084 3542 0
"69" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 24 NA "B2" "63-17 OCEAN AVENUE SOUTH                 " "            " 11692 2 0 2 " 2,088 " " 3,018 " 2014 1 "B2" " 885,877 " "1/27/2016" 885877 3018 2088 0
"71" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 32 NA "B2" "62-03 OCEAN AVENUE SOUTH                 " "            " 11692 2 0 2 " 4,931 " " 3,547 " 2014 1 "B2" " 992,793 " "6/29/2016" 992793 3547 4931 0
"72" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 35 NA "B2" "6206 OCEAN AVENUE SOUTH                  " "            " 11692 2 0 2 " 6,200 " " 3,357 " 2014 1 "B2" " 992,793 " "7/7/2016" 992793 3357 6200 0
"73" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 36 NA "B2" "62-10 OCEAN AVENUE SOUTH                 " "            " 11692 2 0 2 " 4,567 " " 2,664 " 2014 1 "B2" " 911,333 " "5/6/2016" 911333 2664 4567 0
"74" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 39 NA "B2" "62-14 OCEAN AVENUE SOUTH                 " "            " 11692 2 0 2 " 4,161 " " 2,958 " 2014 1 "B2" " 773,870 " "2/19/2016" 773870 2958 4161 0
"75" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 42 NA "B2" "140 COMPASS PLACE                        " "            " 11692 2 0 2 " 4,085 " " 2,626 " 2014 1 "B2" " 901,151 " "6/7/2016" 901151 2626 4085 0
"76" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 43 NA "B2" "129 BEACH 62 STREET                      " "            " 11692 2 0 2 " 3,590 " " 2,626 " 2014 1 "B2" " 768,778 " "3/14/2016" 768778 2626 3590 0
"77" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 44 NA "B2" "127 BEACH 62 STREET                      " "            " 11692 2 0 2 " 2,368 " " 3,306 " 2014 1 "B2" " 743,322 " "10/21/2015" 743322 3306 2368 0
"78" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 45 NA "B2" "125 BEACH 62 STREET                      " "            " 11692 2 0 2 " 3,440 " " 3,306 " 2014 1 "B2" " 773,870 " "6/7/2016" 773870 3306 3440 0
"79" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 50 NA "B2" "63-02 OCEAN AVENUE NORTH                 " "            " 11692 2 0 2 " 2,542 " " 2,958 " 2014 1 "B2" " 784,052 " "3/21/2016" 784052 2958 2542 0
"80" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 53 NA "B2" "63-08 OCEAN AVENUE NORTH                 " "            " 11692 2 0 2 " 2,661 " " 2,515 " 2014 1 "B2" " 712,775 " "8/26/2016" 712775 2515 2661 0
"81" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 54 NA "B2" "63-12 OCEAN AVENUE NORTH                 " "            " 11692 2 0 2 " 2,661 " " 2,515 " 2014 1 "B2" " 743,322 " "2/15/2016" 743322 2515 2661 0
"82" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 56 NA "B2" "63-16 OCEAN AVENUE NORTH                 " "            " 11692 2 0 2 " 2,421 " " 2,958 " 2014 1 "B2" " 768,778 " "4/19/2016" 768778 2958 2421 0
"83" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 58 NA "B2" "158 SEA GRASS LANE                       " "            " 11692 2 0 2 " 3,226 " " 2,515 " 2014 1 "B2" " 712,775 " "3/24/2016" 712775 2515 3226 0
"84" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 59 NA "B2" "162 SEA GRASS LANE                       " "            " 11692 2 0 2 " 3,226 " " 2,515 " 2014 1 "B2" " 672,045 " "11/16/2015" 672045 2515 3226 0
"85" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 68 NA "B2" "182 SEA GRASS LANE                       " "            " 11692 2 0 2 " 4,430 " " 2,958 " 2014 1 "B2" " 687,318 " "12/29/2015" 687318 2958 4430 0
"86" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 69 NA "B2" "188 SEA GRASS LANE                       " "            " 11692 2 0 2 " 4,430 " " 2,958 " 2014 1 "B2" " 661,862 " "11/30/2015" 661862 2958 4430 0
"87" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 71 NA "B2" "192 SEA GRASS LANE                       " "            " 11692 2 0 2 " 2,236 " " 3,018 " 2014 1 "B2" " 712,775 " "12/17/2015" 712775 3018 2236 0
"88" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 72 NA "B2" "194 SEA GRASS LANE                       " "            " 11692 2 0 2 " 2,226 " " 3,018 " 2014 1 "B2" " 677,136 " "9/30/2015" 677136 3018 2226 0
"90" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 76 NA "B2" "195 BEACH 62 STREET                      " "            " 11692 2 0 2 " 3,211 " " 2,626 " 2014 1 "B2" " 609,931 " "5/17/2016" 609931 2626 3211 0
"91" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 77 NA "B2" "191 BEACH 62 STREET                      " "            " 11692 2 0 2 " 3,211 " " 2,626 " 2014 1 "B2" " 707,683 " "6/10/2016" 707683 2626 3211 0
"92" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 78 NA "B2" "189 BEACH 62 STREET                      " "            " 11692 2 0 2 " 3,211 " " 2,626 " 2014 1 "B2" " 672,045 " "5/12/2016" 672045 2626 3211 0
"93" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 79 NA "B2" "185 BEACH 62 STREET                      " "            " 11692 2 0 2 " 3,211 " " 2,626 " 2014 1 "B2" " 682,227 " "3/11/2016" 682227 2626 3211 0
"94" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 81 NA "B2" "181 BEACH 62 STREET                      " "            " 11692 2 0 2 " 2,236 " " 3,306 " 2014 1 "B2" " 733,140 " "6/15/2016" 733140 3306 2236 0
"95" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 83 NA "B2" "177 BEACH 62 STREET                      " "            " 11692 2 0 2 " 3,211 " " 2,626 " 2014 1 "B2" " 631,315 " "4/26/2016" 631315 2626 3211 0
"96" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 84 NA "B2" "173 BEACH 62 STREET                      " "            " 11692 2 0 2 " 3,211 " " 2,626 " 2014 1 "B2" " 650,254 " "5/27/2016" 650254 2626 3211 0
"97" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 87 NA "B2" "163 BEACH 62 STREET                      " "            " 11692 2 0 2 " 3,942 " " 2,626 " 2014 1 "B2" " 651,680 " "3/30/2016" 651680 2626 3942 0
"99" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 114 NA "B2" "192 WHITE SANDS WAY                      " "            " 11692 2 0 2 " 3,531 " " 2,958 " 2011 1 "B2" " 738,231 " "4/29/2016" 738231 2958 3531 0
"100" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 115 NA "B2" "191 SEA GRASS LANE                       " "            " 11692 2 0 2 " 4,142 " " 2,958 " 2012 1 "B2" " 738,231 " "6/6/2016" 738231 2958 4142 0
"101" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 116 NA "B2" "189 SEA GRASS LANE                       " "            " 11692 2 0 2 " 2,246 " " 3,018 " 2012 1 "B2" " 738,231 " "1/5/2016" 738231 3018 2246 0
"102" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 139 NA "B2" "6512 OCEAN AVENUE NORTH                  " "            " 11692 2 0 2 " 2,987 " " 2,258 " 2012 1 "B2" " 660,000 " "8/9/2016" 660000 2258 2987 0
"103" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 146 NA "B2" "186 SALTAIRE LANE                        " "            " 11692 2 0 2 " 2,246 " " 2,939 " 2011 1 "B2" " 677,136 " "9/25/2015" 677136 2939 2246 0
"104" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 148 NA "B2" "189 WHITE SANDS WAY                      " "            " 11692 2 0 2 " 3,870 " " 3,174 " 2011 1 "B2" " 702,592 " "9/29/2015" 702592 3174 3870 0
"105" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 173 NA "B2" "64-17 OCEAN AVENUE NORTH                 " "            " 11692 2 0 2 " 3,046 " " 2,515 " 2014 1 "B2" " 672,045 " "12/16/2015" 672045 2515 3046 0
"106" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 220 NA "B2" "6615 OCEAN AVENUE NORTH                  " "            " 11692 2 0 2 " 3,367 " " 2,974 " 2013 1 "B2" " 765,000 " "8/17/2016" 765000 2974 3367 0
"107" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 221 NA "B2" "66-13 OCEAN AVENUE NORTH                 " "            " 11692 2 0 2 " 2,375 " " 2,938 " 2013 1 "B2" " 663,000 " "2/17/2016" 663000 2938 2375 0
"108" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 238 NA "B2" "66-11 SURF AVENUE                        " "            " 11692 2 0 2 " 3,265 " " 2,258 " 2011 1 "B2" " 789,143 " "11/6/2015" 789143 2258 3265 0
"109" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 259 NA "B2" "66-14 SEASPRAY AVENUE                    " "            " 11692 2 0 2 " 2,143 " " 2,908 " 2011 1 "B2" " 785,000 " "6/3/2016" 785000 2908 2143 0
"110" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 260 NA "B2" "66-16 SEASPRAY AVENUE                    " "            " 11692 2 0 2 " 2,143 " " 2,908 " 2011 1 "B2" " 766,000 " "10/26/2015" 766000 2908 2143 0
"112" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 281 NA "B2" "65-11 SEASPRAY AVENUE                    " "            " 11692 2 0 2 " 3,401 " " 2,515 " 2012 1 "B2" " 789,143 " "4/14/2016" 789143 2515 3401 0
"113" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 291 NA "B2" "114 BEACH WAY                            " "            " 11692 2 0 2 " 3,377 " " 2,258 " 2011 1 "B2" " 763,687 " "9/8/2015" 763687 2258 3377 0
"114" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 296 NA "B2" "6504 BEACH FRONT ROAD                    " "            " 11692 2 0 2 " 3,542 " " 3,084 " 2014 1 "B2" " 941,881 " "11/6/2015" 941881 3084 3542 0
"115" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 299 NA "B2" "6514 BEACH FRONT ROAD                    " "            " 11692 2 0 2 " 3,542 " " 3,084 " 2014 1 "B2" " 1,069,162 " "7/8/2016" 1069162 3084 3542 0
"116" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 300 NA "B2" "65-16 BEACH FRONT ROAD                   " "            " 11692 2 0 2 " 3,542 " " 3,080 " 2014 1 "B2" " 941,881 " "11/23/2015" 941881 3080 3542 0
"117" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 301 NA "B2" "6520 BEACH FRONT ROAD                    " "            " 11692 2 0 2 " 3,517 " " 3,084 " 2014 1 "B2" " 1,013,158 " "3/29/2016" 1013158 3084 3517 0
"118" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 302 NA "B2" "65-22 BEACH FRONT ROAD                   " "            " 11692 2 0 2 " 3,589 " " 3,080 " 2014 1 "B2" " 992,793 " "3/29/2016" 992793 3080 3589 0
"119" 4 "ARVERNE                  " "02  TWO FAMILY DWELLINGS                    " "1" 15905 303 NA "B2" "66-02 BEACH FRONT ROAD                   " "            " 11692 2 0 2 " 3,588 " " 3,084 " 2014 1 "B2" " 1,013,158 " "4/22/2016" 1013158 3084 3588 0
